domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.stern.de,-0.08399761904761904,0.2411671237583533,0.0736031746031746,0.1400888108433874,50.0
www.zeit.de,-0.08462719298245613,0.21963940361177164,0.07653508771929825,0.14355335176039516,38.0
www.tagesspiegel.de,-0.08025,0.16296617792106075,0.06845238095238096,0.1158180352160167,20.0
www.diepresse.com,0.04906525573192239,0.20652443998764525,0.06911375661375661,0.11184699043818033,18.0
www.n-tv.de,-0.07409780578898227,0.26582039133212904,0.14631185807656397,0.21371326225519058,17.0
www.faz.net,0.17642361111111113,0.22944517912819246,0.05347222222222222,0.11445182995684858,12.0
www.nzz.ch,-0.03920454545454545,0.155067240628579,0.07828282828282829,0.15154460993087854,11.0
www.bild.de,-0.04851851851851853,0.1962910332977195,0.11944444444444444,0.17310481731534158,9.0
www.sueddeutsche.de,-0.04437389770723104,0.22022923421486684,0.04799382716049382,0.07068036011438036,9.0
taz.de,-0.04660493827160494,0.23444583406059408,0.23765432098765432,0.20953869412283993,9.0
orf.at,-0.051041666666666666,0.2434229083335981,0.14583333333333331,0.20773724245970415,8.0
www.morgenpost.de,0.012135416666666662,0.2992344263942305,0.08562499999999999,0.10860930965095553,8.0
www.focus.de,0.03142857142857144,0.15518336994303966,0.16904761904761906,0.17062753767711883,7.0
www.jungewelt.de,-0.059722222222222225,0.1881501075284385,0.11805555555555554,0.1453364551142802,6.0
www.tagesschau.de,-0.195,0.1927145269274968,0.10666666666666666,0.15347819244295116,5.0
t3n.de,0.1636904761904762,0.31668177103254364,0.16547619047619047,0.14000121476635272,5.0
www.welt.de,0.05857142857142859,0.3927546763918469,0.0,0.0,5.0
science.orf.at,-0.05816666666666666,0.12242401271355587,0.231,0.16824089871371942,5.0
www.kino.de,0.38777777777777783,0.27479959027410295,0.06666666666666667,0.11547005383792516,3.0
www.dw.com,-0.17,0.11170397386744024,0.16666666666666666,0.16666666666666666,3.0
ooe.orf.at,-0.07,0.2696293752542553,0.03333333333333333,0.05773502691896258,3.0
www.ibiza-heute.de,0.08333333333333333,0.10408329997330665,0.06666666666666667,0.11547005383792516,3.0
www.spektrum.de,-0.046666666666666676,0.30169889330626026,0.25,0.3535533905932738,2.0
kaernten.orf.at,-0.25833333333333336,0.20034692133618848,0.0,0.0,2.0
noe.orf.at,0.033333333333333326,0.282842712474619,0.08333333333333333,0.11785113019775792,2.0
scilogs.spektrum.de,-0.29166666666666663,0.05892556509887893,0.0375,0.053033008588991064,2.0
www.markenmut.de,0.0,1.0,0.0,1.0,1.0
www.golem.de,0.0,1.0,0.0,1.0,1.0
www.gamestar.de,0.0,1.0,0.0,1.0,1.0
www.ndr.de,0.0,1.0,0.0,1.0,1.0
www.perlentaucher.de,0.0,1.0,0.0,1.0,1.0
www.computerweekly.com,0.0,1.0,0.0,1.0,1.0
www.brigitte.de,0.0,1.0,0.0,1.0,1.0
www.br.de,0.0,1.0,0.0,1.0,1.0
versicherungswirtschaft-heute.de,0.0,1.0,0.0,1.0,1.0
tirol.orf.at,0.0,1.0,0.0,1.0,1.0
www.freitag.de,0.0,1.0,0.0,1.0,1.0
